id,name,journey_stage,journey_subcategory,description,detection_hint,example_fix
PC-001,Availability Heuristic,Wahrnehmung,Bedarf,People judge how likely/relevant something is by how easily examples come to mind.,Does the page rely on abstract claims with no easy-to-picture scenario for when the product is needed?,"Add a concrete, relatable use-case scenario early in the copy."
PC-002,Overconfidence,Wahrnehmung,Bedarf,"People overestimate their own knowledge or ability, which reduces perceived need for help.","Does copy assume the visitor already recognizes the problem, with no challenge to that assumption?",Add a quick self-check/quiz that reveals a gap the visitor didn't expect.
PC-003,Bystander Effect,Wahrnehmung,Aufmerksamkeit,Presence of many others reduces an individual's felt responsibility to act.,Is the CTA generic and impersonal rather than addressed to the individual visitor?,"Personalize CTA copy directly to the visitor (""Your plan"", ""Start yours"")."
PC-004,Curiosity,Wahrnehmung,Aufmerksamkeit,"Information gaps create a drive to seek closure, increasing engagement.",Do headlines fully reveal the content with no open question or gap?,Use a curiosity-gap headline that teases the payoff without giving it away.
PC-005,Facial Distraction,Wahrnehmung,Aufmerksamkeit,"Human faces strongly pull visual attention, for better or worse.",Is a hero-image face looking away from the CTA or key info?,Orient the model's gaze/face toward the CTA or product.
PC-006,Gaze Cueing Effect,Wahrnehmung,Aufmerksamkeit,Viewers instinctively follow the gaze direction of a pictured person.,Is the pictured person looking off-page instead of toward key content?,Reframe or select imagery where gaze points at the CTA/offer.
PC-007,Inattentional Blindness Effect,Wahrnehmung,Aufmerksamkeit,Users can completely miss elements outside their focused attention path.,"Is important information placed outside the natural scan path (e.g. sidebar, footer)?",Move critical info into the primary F-pattern reading zone.
PC-008,Joy and Fun,Wahrnehmung,Aufmerksamkeit,Positive affect increases engagement and receptivity to messaging.,Is the tone purely functional/dry with no moments of delight?,Add small playful touches in microcopy or visuals where appropriate.
PC-009,Picture Superiority Effect,Wahrnehmung,Aufmerksamkeit,Images are remembered significantly better than text alone.,Is a key benefit explained only in text with no supporting visual?,"Illustrate the key benefit with an image, icon, or diagram."
PC-010,Salience,Wahrnehmung,Aufmerksamkeit,Visually prominent elements draw disproportionate attention.,Does the CTA visually compete with other high-contrast elements on the page?,Increase contrast/size of the primary CTA and reduce competing visual noise.
PC-011,Streisand Effect,Wahrnehmung,Aufmerksamkeit,Trying to hide information tends to draw more attention to it.,"Is negative info (fees, limitations) awkwardly buried or hidden?",Address known objections openly instead of concealing them.
PC-012,Vampire Effect,Wahrnehmung,Aufmerksamkeit,An overly attention-grabbing element steals focus from the actual message.,Does the hero visual outshine or distract from the offer/CTA?,Simplify or mute visuals that compete with the core message.
PC-013,Barnum Effect,Wahrnehmung,Relevanz,"Vague, general statements feel personally relevant to almost everyone.","Are benefit claims generic (""perfect for everyone"") rather than specific?",Write segment-specific benefit statements instead of universal claims.
PC-014,Empathy Gap,Wahrnehmung,Relevanz,People underestimate how much future emotional states will drive their decisions.,Is there no framing of the emotional payoff after using the product?,Describe the post-purchase emotional relief or satisfaction explicitly.
PC-015,Focusing Effect,Wahrnehmung,Relevanz,Overweighting one prominent attribute while ignoring other relevant ones.,Does one benefit dominate messaging while other real benefits are invisible?,Balance the headline benefit with 2-3 supporting secondary benefits.
PC-016,FOMO,Wahrnehmung,Relevanz,Fear of missing out drives faster action.,"Are there no urgency, scarcity, or social-activity signals present?",Add a genuine limited-time or limited-availability signal.
PC-017,Funktionale Fixierung,Wahrnehmung,Relevanz,Difficulty seeing alternative uses or contexts for a product.,Does copy show only one narrow use-case for the product?,Show multiple use-cases or contexts where the product applies.
PC-018,Identifiable Victim Effect,Wahrnehmung,Relevanz,People respond more strongly to one specific person's story than to statistics.,Are only aggregate stats shown with no individual story?,Add a named customer story alongside the statistic.
PC-019,Inaction Inertia Effect,Wahrnehmung,Relevanz,"Missing a past good deal makes people less likely to act on a current, lesser one.",Is a returning visitor shown the same or worse offer than one they previously skipped?,"Give returning visitors who abandoned a fresh, distinct incentive."
PC-020,Status Quo Bias,Wahrnehmung,Relevanz,People prefer to keep things as they are and resist change.,Is there no explicit contrast between acting now vs. doing nothing?,Frame the cost of staying with the current situation explicitly.
PC-021,Threat,Wahrnehmung,Relevanz,A perceived risk or threat increases motivation to act.,Is there no honest framing of the risk of not acting?,"Name the real, factual risk of inaction without exaggeration."
PC-022,Context Dependent Memory,Wahrnehmung,Erinnerung,Recall is stronger when the current context matches the context of first exposure.,Does the landing page look visually inconsistent with the ad that drove the click?,Match landing page visuals/copy closely to the originating ad creative.
PC-023,Primacy Effect,Wahrnehmung,Erinnerung,The first items presented in a sequence are remembered best.,Is the weakest selling point listed first?,Lead with the single strongest benefit or argument.
PC-024,Recency Effect,Wahrnehmung,Erinnerung,The last items presented in a sequence are remembered best.,Does a page or section end on a weak or flat note?,"Close sections and pages with a strong, memorable statement."
PC-025,Recognition over Recall Effect,Wahrnehmung,Erinnerung,Recognizing something is cognitively easier than recalling it from memory.,Does the flow force users to remember past choices instead of showing them?,Show recently viewed or saved items instead of asking users to recall them.
PC-026,Rhyme-as-Reason Effect,Wahrnehmung,Erinnerung,Statements that rhyme or have rhythm are judged as more credible.,"Is there no memorable, rhythmic phrasing for the core value proposition?","Craft a short, rhythmic tagline for the core claim."
PC-027,Rosy Retrospection,Wahrnehmung,Erinnerung,Past experiences are remembered more positively than they actually were.,Is a returning customer's past experience not referenced at all?,"Reference the customer's positive past experience (""Welcome back"")."
PC-028,Serial Position Effect,Wahrnehmung,Erinnerung,Items at the start and end of a list are remembered best; middle items are forgotten.,Is the recommended plan/option placed in the middle of a list?,Place the recommended option first or last in the list.
PC-029,Story Bias,Wahrnehmung,Erinnerung,Narratives are more persuasive and memorable than raw facts alone.,Is the page a pure feature/spec list with no narrative thread?,Wrap key facts into a short customer story or scenario.
PC-030,Von Restorff Effect,Wahrnehmung,Erinnerung,An item that visually stands out from its surroundings is remembered better.,Is the recommended plan visually identical to the other options?,"Visually highlight the recommended option (color, badge, size)."
PC-031,Affektheuristik,Entscheidung,Vertrauen,Decisions are guided by current emotional state rather than pure analysis.,Is the copy purely technical/rational with no emotional register at all?,Add emotionally resonant language alongside the factual claims.
PC-032,Ambiguity Aversion,Entscheidung,Vertrauen,"People prefer a known risk over an unknown, unclear one.","Are terms left vague (e.g. ""flexible cancellation"" with no specifics)?",State exact terms and numbers instead of vague qualifiers.
PC-033,Authenticity,Entscheidung,Vertrauen,Perceived genuineness increases trust in the source.,Is the page overly polished with generic stock photography?,"Use real photos of the team, product, or customers."
PC-034,Authority,Entscheidung,Vertrauen,Credentialed or expert sources are more persuasive.,Are claims made with no expert or credential backing nearby?,"Attribute key claims to a credentialed expert, certification, or standard."
PC-035,Bandwagon Effect,Entscheidung,Vertrauen,People are more likely to do what they see many others doing.,Is there no indication of how many people already use the product?,"Show adoption numbers or a ""most popular"" label."
PC-036,Cheerleader Effect,Entscheidung,Vertrauen,Items appear more appealing when shown in a group than alone.,"Is the product shown only in an isolated, out-of-context shot?",Show the product alongside complementary items or in real-life context.
PC-037,Equality Attraction,Entscheidung,Vertrauen,People trust and like others they perceive as similar to themselves.,Does imagery/testimonial selection fail to reflect the target audience?,Use imagery and testimonials that visibly match the target segment.
PC-038,In-Group Bias,Entscheidung,Vertrauen,People favor members of groups they identify with.,Is messaging generic rather than tailored to a specific customer segment?,Tailor copy and imagery to the specific segment being addressed.
PC-039,Liking,Entscheidung,Vertrauen,People are more easily persuaded by sources they like.,Is the copywriting tone cold or impersonal?,"Rewrite in a warmer, more personable voice."
PC-040,Mere Exposure Effect,Entscheidung,Vertrauen,Repeated exposure to something increases preference for it.,Does the brand/product appear only once across the whole funnel?,"Reinforce brand presence across multiple touchpoints (retargeting, repetition)."
