id,name,axis,description,detection_hint,example_fix
VA-01,Benevolenz,Wollen,"Company visibly acts in the customer's interest, not only its own, through supportive and caring service.","Is there no proactive ""we've got your back"" moment anywhere in the flow (empathy, unsolicited help)?","Add a proactive supportive touchpoint, e.g. ""Need help deciding? Talk to us"" before checkout."
VA-02,Integritaet,Wollen,"Honest, transparent communication, including openly admitting limitations or mistakes.",Is there no acknowledgment anywhere of a limitation or trade-off?,State one honest limitation or trade-off transparently rather than hiding it.
VA-03,Interessen,Wollen,"The customer perceives that the company's and their own interests are genuinely aligned, not opposed.","Is copy framed only around company benefit (""boost our revenue"" tone) rather than mutual gain?","Reframe copy around mutual benefit (""this saves you money and helps us both grow"")."
VA-04,Reziprozitaet,Wollen,Trust is extended in both directions - the company shows it trusts the customer too.,Is there excessive verification or friction that implicitly signals distrust of the customer?,Remove unnecessary verification steps that signal distrust of the customer.
VA-05,Karma,Koennen,The company's stated values match its actual behavior consistently over time.,"Do marketing claims (""customer first"") contradict actual policy details (harsh cancellation terms)?",Align policy details concretely with the values stated in marketing.
VA-06,Faehigkeit,Koennen,The company demonstrably has the competence to deliver on its promise.,"Are there no credentials, certifications, or proof of expertise shown near the offer?","Add credentials, certifications, or proof of track record near the offer."
VA-07,Kontinuitaet,Koennen,The company reliably keeps its promises consistently across touchpoints and over time.,"Is information or a promise inconsistent between the ad, landing page, and checkout?",Audit and align promises across every touchpoint in the funnel.
VA-08,Erfahrung,Einschaetzen,The customer has enough prior or repeated positive contact with the company to judge it fairly.,Is there no sequence of repeated touchpoints for first-time visitors before the ask?,"Build a short sequence of repeated positive touchpoints (email, retargeting) before the ask."
VA-09,Reputation,Einschaetzen,Independent third parties vouch for the company's trustworthiness.,"Are there no reviews, press mentions, or certifications displayed?","Surface third-party reviews, press mentions, or certifications prominently."
VA-10,Klarheit,Einschaetzen,"The company reduces ambiguity by setting clear, unambiguous expectations.","Are terms, pricing, or next steps left vague or ambiguous anywhere in the flow?","Replace vague language with explicit, concrete terms and next steps."
